question,answer
What are the weirdest stamps?,"In 1973, Bhutan released a set of stamps that would play on a record player:
It was part of an initiative to spread history and good information about Bhutan.
 Some played famous folk songs, others had recitations of Bhutan’s history in different languages. One had the national anthem. They were eventually discontinued as they weren’t cost-effective.
 But you can still buy them online if that tickles your fancy.
 But they are mostly really expensive.
"
Why would anyone need a gun with more than 10 rounds for concealed carry?,"Multiple targets, of course.
"
"Why does my cat smell so good, despite me never giving him a bath in his entire life?","Why does my cat smell so good, despite me never giving him a bath in his entire life?
 Your cat spends most of his waking hours bathing himself. And maybe on top of that he has good pheromones :)
"
What is a list of skills that are amazing if you learn them?,"Learning new relevant skills will increase your chances of having numerous streams of income. You can learn new valuable skills such as; graphics design, freelancing, web design, content writing, video and photography etc. The best place to learn these skills professionally is on 5verr. if you need my recommendation, then [LINKED_TEXT: click here] [URL: https://bit.ly/3uVbPgI]
"
Why are cookies called biscuits in England?,"The word is borrowed from the French “biscuit"", which literally means cooked twice. Why the Americans use a Dutch word rather than a French one is one of those accidents of history, but rest assured that an American “biscuit"" bears no resemblance to either a British or a French biscuit.
"
What is the privacy policy for boot camp for women recruits?,"I wouldn’t know, but was informed they need not wear service-issue skivvies. What they do pick must clearly be plain, utilitarian, and out of sight.
"
English is an almost grammar-less language. — Richard Grant White. What do you make of this statement?,"This Richard is obviously ignorant of anything linguistic.
"
Did Alexander the Great speak Macedonian?,"Yes. He would have spoken the Macedonian dialect of Greek, of course. But having been highly educated in preparation for kingship, thanks to his father Philip II, he would have also spoken the ‘academic’ Greek of the day.
"
Why does my cat sit on my feet when I'm standing?,"Better than puttin his butt on a cold floor
"
https://www.quora.com/profile/Me...,"It worked on my phone using Opera and “Mi Browser” but not with Edge.
"
How do people who eat only once or twice a day manage to not feel hungry between meals?,"High animal protein and lots of it. Aye, that’s the ticket.
"
What Thailand dramas are worth watching?,"Iv’e see only and really liked it. It’s The Girl From Nowhere. It’s on Netflix.
"
Is it okay as a beginner guitar player to skip chord F?,"I know the F barre chord, where you finger all 6 strings is difficult for a beginner but you can play the 5 string version where the barre is only across the top two strings. When your fingers become stronger you will be able to play the 6 string chord more easily. Guitar playing like any other instrument is all about practice.
"
What is the most misunderstood picture that has become famous (or infamous)?,"They way virat kohli is looking…..
Everyone thought that virat kohli is looking at the girls ripped jeans.
 But actually he was reading the paper which was in the hands of that girl.
 Its all about how you look at things!
"
Who would win between Mr. Mxyzptlk (DC comic) and Gojo (Jujutsu Kaisen)?,"Mr. Mxy wins.
He has thousand times better feats.
  Mr. Mxy wins 10000/10.
"
Would Hillary Clinton have made a better President than Donald J Trump?,"Is the pope catholic? Does a bear shit in the woods?
"
Is 0.2m/s sea current too big for FPSO in offshore drilling?,"That’s less than half a knot (0.4 in fact), which is not going to affect an FPSO to any great extent. An FPSO however is not used for offshore drilling usually, though a floating drill platform could be. The moorings for either are designed for the weather, current and tidal stream, including allowance for broken moorings.
"
"Is this correct? Thermal conductivity says how much thermal energy will permeate a material in a unit amount of time, whereas thermal diffusivity says how much area a unit of energy will permeate in a unit amount of time. If not, what am I missing?","You don’t have to ask ,read it in any thermal physics book, like by Maurice and Fecshbach, or consult google.
"
"What is the best hotel you have ever stayed at, and why?","Undoubtedly, the best hotel I have ever stayed at is MarBella Corfu Hotel! It is a beach resort that is perfect for couples
 See its website here [LINKED_TEXT: https://www.marbella.gr/] [URL: https://www.marbella.gr/] Its brand video gives me the chills!
 I believe that the pictures I found are the answer to “What is the best hotel you have ever stayed at, and why?” :)
    "
How can I get a call history of any number?,"Ok
"
Why do Arabs (mainly in Saudi Arabia and Gulf States) prefer to sleep in the morning and do activities or work at night?,"i’m from saudi arabia and i personally noticed that everyone (or most of us) sleep at night and work all day, i work at night and sleep in the morning for some unknown reason, i prefer it that way, i can focus at night time and the opposite with the day time.
 i don’t know about others.
"
What are some short stories about wives?,"Husband calling his wife from his room : Give me some food, I am hungry!
 Wife : Hey, go to next house, food is yet to be cooked.
 Husband coming out : What?
 Wife : What what?
 Husband : What did you just say?
 Wife : Oops! Was that you? I am so sorry. I was watching a serial. I thought some beggar called.
"
How can I change my hobbies for the betterment of life?,"Read Atomic habits by James Clear
You can thank me later.
"
What kind of food do people from the UK eat that is considered an acquired taste to the rest of the world?,"Black pudding
Tripe
Offal
"
How does one get officially married if they don’t believe in God? Would you still have to have a priest?,"Civil marriage is not a rite of the religion but of the state, so you do not need a priest, just a judge or a justice of the peace or a county clerk who is authorized to sign a certificate according to whatever rules your local jurisdiction has set up.
"
What are the qualities of a successful leader?,"A good leader doesn't not need to be highly qualified, but he must honest, sincere and courageous.
"
Can you live in SF Bay Area without a car?,"If you live in San Francisco I would actually suggest that you don't use your car. Traffic and parking is a pain (and expensive). Use BART.
 In the East Bay, where I lived for 18 years, I used the BART and the bus to get everywhere. Reliable and timely.
 The BART doesn't hit the South Bay so you'd need a car.
"
Would you ever wear a Rolex submariner with a suit and/or blazer?,"Absolutely, wearing a sub with a suit/blazer shows that you are a sporty type person with a degree of sophistication. I do it all the time and I've gotten nothing but compliments. The sub is a watch that can transition from casual to formal with the approval of most watch snobs, such as myself. Go ahead wear it.
"
